i,u1,u2,u3,u4,x1,x2,x3,x4,J
0,0.00,0.00,1.00,2.00,1.00,1.00,1.00,2.00,31.65,
1,0.00,0.00,0.99,1.98,1.00,1.00,1.01,1.99,31.29,
2,0.00,0.01,0.98,1.95,1.00,1.00,1.01,1.99,30.95,
3,0.00,0.01,0.97,1.93,1.00,1.00,1.02,1.98,30.61,
4,0.00,0.02,0.96,1.91,1.00,1.00,1.02,1.98,30.28,
5,0.01,0.02,0.95,1.89,1.00,1.01,1.03,1.97,29.96,
6,0.01,0.02,0.94,1.86,1.00,1.01,1.03,1.97,29.65,
7,0.01,0.03,0.93,1.84,1.00,1.01,1.03,1.96,29.34,
8,0.01,0.03,0.92,1.82,1.00,1.01,1.04,1.96,29.05,
9,0.01,0.03,0.91,1.80,1.00,1.01,1.04,1.95,28.76,
10,0.01,0.04,0.90,1.78,1.00,1.01,1.05,1.94,28.48,
11,0.01,0.04,0.89,1.76,1.00,1.01,1.05,1.94,28.20,
12,0.01,0.04,0.88,1.74,1.00,1.01,1.06,1.93,27.94,
13,0.01,0.05,0.87,1.72,1.00,1.01,1.06,1.93,27.68,
14,0.01,0.05,0.86,1.71,1.00,1.01,1.06,1.92,27.42,
